"start","end","Johnson B Room","Peale A","Peale B","Peale C","Promenade","Ruth Room","Stadium 1 Room","Stadium 2 Room","Stadium 3 Room","University 1","Johnson A Room","Harbor 1 Room","Latrobe Room","Stadium 5 Room","Stadium 4 Room"
2021-11-08 15:40:00,2021-11-08 16:00:00,"Countering The Legacy Of Erosion In North Mississippi Streams","-","-","-","-","Effectiveness Of A Nature-Like Fishway On A Large, Free-Flowing River In Montana, Usa","-","-","-","-","Panel Discussion","-","Spatial Habitat Constraints Of U.s. Northeast Fishes Vary Across Life History Stages","-","Preliminary Diet Analysis Of The Invasive Flathead Catfish (Pylodictis Olivaris) In A Pennsylvani…"
2021-11-08 16:00:00,2021-11-08 16:20:00,"-","-","-","-","-","Evaluating Fish Passage And Tailrace Space Use At A Low-Use Low-Head Lock-And-Dam","-","-","-","-","-","-","Underwater Video As A Tool To Quantify Fish In Complex Coastal Habitats","-","Attempting To Balance Migratory Fish Passage & Invasive Species Management: The Susquehanna River…"
2021-11-08 16:20:00,2021-11-08 16:40:00,"-","-","-","-","-","Field And Laboratory Testing Of Double Acoustic Tagging Techniques To Achieve Fine- And Broad-Sca…","-","-","-","-","-","-","Spatiotemporal Coherence Of Aggregate Biomass Ecosystem Indicators In The Mid-Atlantic Bight, Usa","-","-"
2021-11-08 16:40:00,2021-11-08 17:00:00,"-","-","-","-","-","-","-","-","-","-","-","-","Association Of Fishes And Macro Invertebrates To Sand Features In The New York Bight","-","-"
2021-11-08 17:00:00,2021-11-08 17:20:00,"-","-","-","-","-","-","-","-","-","-","-","-","Implications Of The Misalignment Of Management And Biological Units In Understanding Atlantic Cod…","-","-"
2021-11-08 17:20:00,2021-11-08 17:40:00,"-","-","-","-","-","-","-","-","-","-","-","-","The Importance Of Fine-Scale Data In Identifying Suitable Habitat For Atlantic Cod","-","-"
2021-11-09 08:00:00,2021-11-09 08:20:00,"Habitat Associations Of Blotchside Logperch (Percina Burtoni) In The Little River, Tennessee And …","Afs And Ams: Towards Operationalization Of Ecological Forecasting / What Is Ecological Forecasting?","Fish Habitat Issues In Iowa Lakes Versus Reservoirs, And Relationships With The Fishery","Reservoir Fisheries Management Is Rad! Resisting, Accepting And Directing Riverine Impoundment","Flatlined Flatfish? Status, Trends, And Fisheries Management Of Southern Flounder In Texas.","Estimating Alewife Spawning Run Size By Incorporating Rates Of Multi-Passage From Pit Tag Detecti…","What Have We Been Stocking All These Years? A Genomic Characterization Of Walleye Strains In West…","Primed And Cued: Linking Interannual And Seasonal Flow Dynamics To The Spawning Migrations Of Com…","Introduction","Keynote","Assessing Economic Impacts To The Us Commercial Surfclam Fishing Industry From Offshore Wind Ener…","-","Identifying The Impacts Of Fine Sediment And Drought Conditions On Brook Trout (Salvelinus Fontin…","We Have Been Working On This Forever: Why Is “Diversity And Inclusion” So Hard?","Marineomics: A New Web Resource For Robust And Reproducible Genomic Research In Marine And Aquati…"
2021-11-09 08:20:00,2021-11-09 08:40:00,"Dynamics Of Fish-Habitat Relationships In The North Platte River-Lake Mcconaughy Interface","Ecological Forecasting Initiative: Building A Community Of Practice","Balancing Ecosystem Complexity And Effective Management: Deriving And Understanding Discrete Rese…","A Rad Decision-Making Tool For Walleye (Sander Vitreus) Management In Wisconsin","Reconciling Conflicting Relative Abundance Trends By Accounting For Changing Ocean Conditions","Downstream Passage Of American Eels (Anguilla Rostrata) At A Hydroelectric Facility On The Roanok…","Population Genetic And Stock Enhancement Tools For Conservation Of The Overfished White Seabass, …","Atlantic Halibut Migratory Behavior And Stock Mixing Across The Northwest Atlantic","The Effect Of Movement, Energy Use, And Species Identity On Environmental Dna Shedding Of Fish","The Pep Model: Best Practices From The Woods Hole Partnership Education Program","Development Of A Fishery Owned Knowledge Trust And Demonstration Of Its Use In The Assessment Of …","-","Wildfire And Native Trout Recovery In Arizona","A Retrospective And Broad Review Of Diversity And Inclusion Efforts In Afs","Promises And Challenges For Reusing Pre-Existing Genomic Sequencing Data For Fisheries Research A…"
2021-11-09 08:40:00,2021-11-09 09:00:00,"Field Examination Of Altered Stream Temperatures On Reproductive Development Of Johnny Darter Eth…","Process-Based Forecasting Of Near-Term Range Shifts In Marine Species","Reversing What Time Has Taken Away: Mother Nature’s Experiment With Cove Connection In Harlan Cou…","Conserving The Laurel Dace (Chrosomus Saylori), A Federally Endangered Minnow","Comparative Case Studies Of Fisheries (Re-)Allocation Processes Under Climate Change","Using Sensor Fish Transmitters As Proxies For Documenting Downstream Fish Passage Conditions At L…","Encounter Rates And Catch-And-Release Mortality Of Steelhead In Idaho","High Retention Duration Of Pop-Off Satellite Archival Tags With Sheepshead (Archosargus Probatoce…","Integrating Physiology And Environmental Dynamics To Operationalize Environmental Dna (Edna) As A…","Diversity, Inclusion & U.s. Aquaculture","Considerations For Gear Standardization For Research And Monitoring In Offshore Lease Areas","-","Microhabitat And Energetics Of Juvenile Chinook Salmon In A Simulated Floodplain","What White Guys Don’t Know: Barriers To Minority Participation In Fisheries","Long-Read Genome Resequencing (""Lrg-Seq"") Provides Simultaneous Estimation Of Snps, Structural Va…"
2021-11-09 09:00:00,2021-11-09 09:20:00,"Development Of A Habitat Model For An Endemic Leuciscid, The Sandhills Chub (Semotilus Lumbee)","Evolution And Advancements In Forecast Methodology For Alaskan Salmon Fisheries","Beyond The 100th Meridian: A Case Study Of The Complex Mechanisms By Which Drought-Induced Drawdo…","Creating A Safe Operating Space For An Inland Recreational Fishery","Simulating The Impacts Of Climate Change On Blue Crab (Callinectes Sapidus) Populations In New York","American Eel Passage Through A Small-Scale Fish-Safe Restoration Hydro Turbine: Direct Observatio…","Anatomy Of A Successful Paddlefish Restoration Effort: A Case Study Of Oologah Lake And The Verdi…","Where Do Maine Atlantic Sturgeon Go In The Winter?","Assessing The Power Of Environmental Dna To Predict Atlantic Salmon (Salmo Salar) Population Abun…","Sea Grant Visioning & Actions To Incorporate Diversity, Equity And Inclusion","Informing Wind Farm Layouts With Ais Data And Measured Trawl And Dredge Tracks","-","Growth Prior To Ocean Entry May Provide A Survival Advantage To Columbia River Interior Spring Ch…","What Does Inclusion In The Fisheries Profession Look Like?","Whole Genome Screening For Diagnostic Markers Can Dramatically Increase Both The Accuracy And Spa…"
2021-11-09 09:40:00,2021-11-09 10:00:00,"Complexity In Mutualistic Interactions Between River Chub And Nest Associates – Observations From…","Forecasting River Herring Bycatch In The Northeast Us","Is Reservoir Water Elevation And Habitat Availability A Linear Relationship?","Managing Watersheds And Riverscapes For Aquatic Ecosystem Resiliency In A Rapidly Urbanizing Priv…","Evaluating Alternative Harvest Control Rules For Gulf Of Maine Cod In A Changing Climate","Visualizing Success: The Importance Of Visual Surveys For Evaluating And Developing Successful Ee…","Evaluation Of Natural And Hatchery-Produced Kokanee In Flaming Gorge Reservoir, Wyoming-Utah","Refining Capture-Recapture Recruitment Estimation Methods For Atlantic Sturgeon In The Altamaha R…","Testing The Waters For Quantitative Abundance: American Eels In The Bronx River","Lessons Learned In Offering Same Program With A Different Delivery","The Use Of Navigation Simulators To Gain Experience Operating In Offshore Wind Farms","-","Using Acoustic Telemetry To Characterize Predation On Atlantic Salmon Smolts.","Outdoors Is For Everyone: Creating An Inclusive And Safe Space In Our Society For Lgtbq+ Members","Gene Flow And Spatial Population Structure Of Brook Trout In A Large Headwater Stream Network In …"
2021-11-09 10:00:00,2021-11-09 10:20:00,"Toothy Filter Feeder? Evidence Of Alligator Gar Feeding On Zooplankton","Creating A Distribution Model Of Invasive Rusty Crayfish (Faxonius Rusticus) In Michigan Streams …","Does Flow Management Result In Less Hospitable Habitat For A Parasite's Intermediate Host?","Developing A Framework For Managing Fish Species As They Cross Political Boundaries","Consequences Of False Assumptions When Projecting Habitat Suitability: A Caution Of Forecasting U…","Predicting Outmigration Of American Eels (Anguilla Rostrata) To Improve Downstream Passage Surviv…","First Commercial Trial Of In-Pond Raceway System Iprs Aquaculture In Bangladesh With Ctenopharyng…","Recruitment Of American Glass Eels (Anguilla Rostrata) To Northeast Florida: Evidence For A Decad…","Edna As A Tool For Assessing Fish Population Abundance Across Inland Lakes Of A Recreational Fishery","Panel Discussion","Effective Stakeholder Engagement In Offshore Wind Energy Development: New York State’s Fisheries …","-","Genomic Region Associated With Run-Timing Has Similar Haplotypes And Phenotypic Effects Across Th…","Terranaut Club: Stem And Nature Exploration For Girls+","Using Genomics To Improve Stock Structure Resolution Of Lake Whitefish (Coregonus Clupeaformis) I…"
2021-11-09 10:20:00,2021-11-09 10:40:00,"Swimming Performance And Metabolism Of Four Fish Species Under The Flow And Temperature Regimes O…","Cyberinfrastructure For Near Real-Time Water Quality Forecasting In Lakes And Reservoirs","Going With The Flow: Past, Present, And Future Of Reservoir Fish Escapement","-","Impact Of Marine Heatwaves On The Spatiotemporal Distributions Of U.s. Pelagic Fishing Fleets","Stress Less?  Comparing Stress In Fish After Bypass Pipe Vs. Vehicle Transport Passage","Offshore Marine Aquaculture: A Farmer Perspective","-","Advancing Monitoring And Management Of Mid-Atlantic Alosine Fishes With Edna Analysis","Panel Discussion","Panel Discussion: The Role Of Environmental And Fisheries Efforts During The Pre-Development Stag…","-","Distribution Of Genetic Variation Underlying Adult Migration Timing In Steelhead Of The Columbia …","Levers Of Change Want Change? You Have Power: Use It!","A Gt-Seq Panel Creates New Opportunities For Walleye Management In The Great Lakes And Beyond"
2021-11-09 13:20:00,2021-11-09 13:40:00,"Habitat Use Of Three Forage Fishes Across Six Reaches Of The Mississippi And Illinois Rivers","Comparing Social Data To Ecological Models: Environmental Factors Affecting The North Carolina Sh…","Can A River-Reservoir Interface Serve As Nursery Habitat For Riverine Fishes?","Population Genomic Structure Of Great Lakes Ciscoes (Coregonus Spp.) Using Low-Coverage Whole Gen…","Northeast Climate Integrated Modeling To Meet Ocean Decision Challenges","Eel River Of Northern Indiana:  Ecological Restoration Through Conservation Partnerships","Design Features Of Water Harvesting Structures To Accommodate Fish Farming: Views And Reviews","Scalloped Hammerhead Sharks Have More Complex Migratory Routes Than Expected","Towards Absolute Abundance: Applying A Likelihood-Based Framework To Enumerate The Number Of Cont…","-","Panel Discussion","-","Hatch Timing Of Two Subarctic Salmonids In A Stream Network Estimated By Otolith Increments","The Success And Relevancy Of Afs Hinge On How We Value Diversity","Failure Of Phenotypic Markers To Accurately Identify Black Bass Species And Associated Hybrids In…"
2021-11-09 13:40:00,2021-11-09 14:00:00,"A Test Of A Generalized, Optimal Habitat Selection Model For Drift-Feeding Fishes: Brook Charr","The (En)Tangled Web They Weave: Stakeholder Perception Of The Large Whale Take Reduction Process","Determining Lake Characteristics For Expanding The Florida Bass Stocking Program In Arkansas","Comparative Genomics And Microbiomes Of A High Value Forage Fish, Pacific Chub Mackerel, Scomber …","Managing Menhaden: How Ecosystem Models Can Be Used To Incorporate Climate And Ecology In Forage …","The Effect Of Annual Variability On Passage Standards Set Through Population Modeling","Warm Water Aquaculture In A Cold Water State","Demographics, Survivorship And Post-Released Behavior Of Prohibited Sharks Captured In The Land-B…","Estimating The Genetic Diversity Of Pacific Salmon And Trout Using Multigene Edna Metabarcoding","-","Panel Discussion","-","-","Panel Discussion","Chesapeake Bay Barcode Initiative (Cbbi): The First Comprehensive Genetic Library For Fish Of The…"
2021-11-09 14:00:00,2021-11-09 14:20:00,"Theoretical Models As Spatial Proxies For Stream Fish Metacommunities In A Fragmented Stream Network","Homeward Bound: Returning Atlantic Salmon To Maine Rivers Using Aquaculture","Survival And Dispersal Patterns For Stocked Age-0 And Adult Striped Bass In Bull Shoals Reservoir…","Polygenic Discrimination Of Migratory Phenotypes In The Critically Endangered Delta Smelt","Something Strange In The Neighborhood: The Potential Roles Of Ecosystem And Management Changes In…","Updating The Consensus On Fishway Efficiency: A Meta-Analysis","The Potential Of Pangasius Catfish, Pangasianodon Hypophthalmus, Production In-Pond Raceway Syste…","Altered Stock Assessment Frequency Had Minimal Impact On Management Performance Of A Large Coasta…","Transgenes Of Genetically Modified Animals Detected Via Non-Invasive And Environmental Dna","-","Panel Discussion","-","A Guide To Assessing Native Fish Conservation Translocations Using Two Case Studies In Yellowston…","Panel Discussion","A Genetic Snapshot Of Stocking: The Ontonagon River Lake Sturgeon Project"
2021-11-09 14:20:00,2021-11-09 14:40:00,"The Varied Roles Of Small Fish As Mesopredators In Lake Food Webs","-","Assessing Hydrilla Spread And Subsequent Impacts On Sportfish Communities In Lake Sinclair, Georgia","-","Using Spatiotemporal Models And Changes In Sea Surface Temperature At Varying Spatiotemporal Scal…","Alosine Restoration: Priorities And Challenges In The Delaware River Basin","Comparisons Of Tissues For The Detection Of Renibacterium Salmoninarum In Cutthroat Trout","-","Agency Preferences To The Use Of Edna Monitoring For Aquatic Invasive Species","-","-","-","Evaluating Factors Affecting Brook Trout Abundance In Central Appalachian Headwater Streams Using…","-","Linkage Map Of Shovelnose Sturgeon (Scaphirhynchus Platorynchus) Haploids Aids Marker Development…"
2021-11-09 14:40:00,2021-11-09 15:00:00,"Growth And Seasonal Food Habits Of Walleyes In The Clark Fork-Pend Oreille Basin, Idaho","-","Modeling Synchrony In Black Bass Angler Activity And Management Actions Across Tennessee Reservoirs","-","Asynchrony, Tradeoffs, And Climate Drivers Of Lifetime Demographic Rates For Alternative Juvenile…","Stakeholder Partnerships For Aquatic Connectivity - Capacity Building And Lessons Learned","Non-Lethal Detection Of The Invasive Swimbladder Parasite Anguillicola Crassus In American Eels (…","Oxygen Extraction Efficiency In Buccal Pumping And Ram Ventilating Coastal Sharks","Potential Factors Affecting Successful Detection Of Target Species Edna – Some Lessons Learned Fr…","-","-","-","Investigating Threshold Relationships Between Native Bull Trout And Invasive Brook Trout In Idaho…","-","Phylogeography And Fitness Consequences Of Admixture In The Smallmouth Bass (Micropterus Dolomieu)"
2021-11-09 15:00:00,2021-11-09 15:20:00,"Estimating Aspects Of Reproductive Biology For A Non-Native Flathead Catfish Population In The Ca…","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
2021-11-09 15:20:00,2021-11-09 15:40:00,"Framework To Assess The Impact Of Investments In Us Fisheries Innovation","Habitat Modeling For Invasive Lionfish In The Gulf Of Mexico Using A Bioenergetics-Based Growth M…","Exploring The Use Of Price Indices To Adjust Angler Expenditure Profiles Over Time","-","Ocean Temperature And Food Web Quality Influence Rockfish Body Condition","Hydraulic Impact On Fish Migration In Sariakandhi Fish Pass Of Bangladesh.","Laser Diffraction Technique In Fisheries Research","Species Distribution Models Reveal Habitat Use, Temporal Changes, And Knowledge Gaps For Basking …","Opportunities And Challenges In Combining Citizen Science And Environmental Dna For Surveillance …","-","-","-","-","-","Using Genetic Parentage To Validate Scale Ages In Wild Pacific Salmon"
2021-11-09 15:40:00,2021-11-09 16:00:00,"-","-","-","-","Changing Climate Associated With The Range-Wide Decline Of An Estuarine Finfish","-","-","Metal Heads: Physiological And Behavioral Effects Of Organic Mercury On A Small Elasmobranch, Mus…","-","-","-","-","-","-","-"
2021-11-09 16:00:00,2021-11-09 16:20:00,"-","-","-","-","A Reason To Feel Blue? Evaluating The Impacts Of Environmental Stress And Bioactive Estrogen On T…","-","-","-","-","-","-","-","-","-","-"
2021-11-10 08:00:00,2021-11-10 08:20:00,"A Unified Model Of Walleye Recruitment","Big Fish In A Little Tank: Blue Catfish Stress In Livewells","-","Covid-19 Influences On Us Recreational Angler Behavior","Afs Climate Ambassador Program: Shaping The Climate Narrative","High-Speed Video Analysis Of Simulated Turbine Blade Strikes To Determine The Effects Of Fish Bod…","Effects Of Ecologically Relevant Levels Of Glochidia Infestation On Metabolic Rate And Hypoxia To…","-","-","-","Management Status And Condition Of Us Non-Federally Managed Fisheries","-","-","-","Low Coverage Whole Genome Sequencing Reveals Molecular Markers For Spawning Season And Sex Identi…"
2021-11-10 08:20:00,2021-11-10 08:40:00,"Recruitment Of Smallmouth Buffalo In The Upper Mississippi River System","An Assessment Of Age, Growth, And Otolith Chemistry For White Catfish In The Penobscot River, Maine","-","Angler Compliance With In Rockfish Conservation Areas In British Columbia, Canada, In Response To…","My ""And, But, Therefore"" Journey: Exploring A Framework For Clear, Compelling Communication","Documented Improvements In Fish Passage In The Lower Patapsco River Following Bloede Dam Removal","Using Dispersal Data To Optimize Egg Planting Strategies For Atlantic Salmon","-","-","-","More Than Just Fish Ages: Massachusetts Division Of Marine Fisheries Age And Growth Project","-","-","-","Highly Variable Supergenes Dominate Genetic Patterns Of Atlantic Cod In The Northwestern Atlantic…"
2021-11-10 08:40:00,2021-11-10 09:00:00,"Investigating Recruitment Patterns Among Upper Mississippi River Fishes","Investigation Of The Efficacy Of Electrified Benthic Trawl On Young Of Year Ictalurids In Varying…","-","Identifying Motivations And Barriers For Texas Anglers Who First Purchased A License During The C…","Storytime For Scientists","Assessment Of Atlantic Salmon Smolt Injuries During Emigration From 5 Maine Rivers From 1998-2019","Egg Quality And The Timing Of Broodstock Diet Shifts In Southern Flounder (Paralichthys Lethostigma)","-","-","-","Juvenile Finfish Relative Abundance Surveys In Maryland’s Coastal Bays","-","-","-","Complex Introgression Among Three Diverged Largemouth Bass Lineages"
2021-11-10 09:00:00,2021-11-10 09:20:00,"Historical French Broad River: What We Lost, How We Lost It, And How To Get It Back","Catch And Size Structure Comparison Of Fishes And Turtles In Hoop Nets Using Three Different Baits","-","Changes In Demographics And Distribution Of Wisconsin Anglers During The Covid-19 Pandemic","All The Small Things: The Importance Of Communicating About Plankton For Fisheries Science","Exploring Movement Patterns","Gonadal Differentiation And Effects Of Estradiol-17ß On The Survival, Growth, And Sex Reversal Of…","-","-","-","The Maine-New Hampshire Inshore Trawl Survey: Twenty-One Years Of Data Collection To Support Scie…","-","The Sociality Of Atlantic Sturgeon And Sand Tiger In Dynamic Bay Environments","-","Building Collections And Genomic Resources For Conservation Of Imperiled Fishes"
2021-11-10 09:40:00,2021-11-10 10:00:00,"-","Seasonal Movement Patterns And Use Of Thermal Refuge For Muskellunge (Esox Masquinongy) In The No…","-","Covid-19 Pandemic Influences On Iowa Fishing License Sales","Using Art To Inspire Wonder, Introspection And Conservation Action","Dam Removal In 3d: Application Of Stage 0 Design To Dam Removal","-","-","-","-","Peconic Bay Trawl Survey – How Federal Aid Supports Projects That Improve Fisheries Sustainabilit…","-","In-Pond Raceway System Technology Improves Production, Growth, Survival And Profile Of Fatty Acid…","-","Comparison Of Environmental Dna And Snorkel Surveys For Monitoring Fish Distributions In Rivers"
2021-11-10 10:00:00,2021-11-10 10:20:00,"-","Quantifying Muskellunge Catch-And-Release Mortality In Stonewall Jackson Lake","-","Making Science And Research Relevant For Effective Fisheries Management: Three Case Studies From …","Incorporating Land-Based Knowledge Into The Climate Change Discussion","A Genetic Evaluation Of Dam Impacts On Sauger (Sander Canadensis) Movement Patterns In The Arkans…","-","-","-","-","Long-Term Monitoring Of American Shad, Alewife, And Blueback Herring In The Virginian Tributaries…","-","Assessment Of Production, Growth, Profile Of Amino Acids And Fatty Acids In Tilapia (Oreochromis …","-","Development Of An Environmental Dna (Edna) Assay To Delineate The Distribution Of The Imperiled S…"
2021-11-10 10:20:00,2021-11-10 10:40:00,"-","Distribution And Movements Of Catostomids In A River-Reservoir Complex And Susceptibility To Tour…","-","Fisheries And Aquaculture Biodiversity In India:  Economic Potentials And Environmental Concerns","The North Atlantic Right Whale And Changing Ocean Conditions","Bigmouth Buffalo Movement And Habitat Overlap With Paddlefish And Bigheaded Carp","-","-","-","-","Striped Bass (Morone Saxatilis): Long Term Monitoring And Management Of New York’s State Saltwate…","-","Presence Of Statin And Beta-Blocking Agents In West Virginia Surface Waters And Sub-Lethal Impact…","-","-"
2021-11-10 13:20:00,2021-11-10 13:40:00,"-","A Meta-Analysis Of Shoreline Angling Metrics In Large Impoundment/Tailwater Systems In Kansas","-","Bank Anglers Have Opinions, Too.","Adapting To Climate-Driven Species Shifts: A Typology Of Fishermen’s Behavioral Responses And Ada…","An Assessment Of Relaxed Selection In Hatchery Populations Of Pink And Coho Salmon By Analysis Of…","-","-","-","-","Artificial Reefs Of Delaware – We Built Them, Did They Come?","-","Keynote","-","-"
2021-11-10 13:40:00,2021-11-10 14:00:00,"-","Quantifying Catch-And-Release Mortality Of James River, Virginia Muskellunge","-","Trust In Fisheries Science: Hard To Earn, Easy To Lose, Impossible To Regain","Encouraging More Climate-Resilient Commercial Fishing Ports In New Jersey","Using A Bayesian Model To Compare Ihnv Transmission Of Inland And Coastal Hatchery Salmonids In P…","-","-","-","-","Achieving Fisheries And Ecosystem Research Goals Through The Sport Fish Restoration Program: A Ca…","-","Whitewater River Parks - History And Design","-","-"
2021-11-10 14:00:00,2021-11-10 14:20:00,"-","A Literature Review Of The Effectiveness Of Harvest Regulations To Meet Size Structure Goals.","-","How Do We Reach More And Different People?  Strategies For Increasing Inclusion In A Community-Su…","A Social-Ecological Examination Of Seasonal Dynamics In The Maine Lobster Fishery","Evaluation Of Saltwater Quarries In The Florida Keys (Fl) For The Semi-Wild Mariculture Of Caribb…","-","-","-","-","Applying Impervious Surface Thresholds To Guide Fish Habitat Management","-","Designing Whitewater Parks For Passage Of Nonsalmonid Fishes","-","-"
2021-11-10 14:20:00,2021-11-10 14:40:00,"-","Ncifd: An R Package For The Inland Fisheries Division Of The North Carolina Wildlife Resources Co…","-","-","Mind The Trap: Climate Resilience And Risks Of Rigidity In Iceland’s Fisheries","-","-","-","-","-","Trading Space For Time: The Chesapeake Biological Laboratory’s Temporally-Intensive Juvenile Fish…","-","A Guidance Document For Reviewing Whitewater Park Projects","-","-"
2021-11-10 14:40:00,2021-11-10 15:00:00,"-","Length-Weight Relationship Of Freshwater Shrimps (Atya Gabonensis) At River Mu, Benue State, Nige…","-","-","-","-","-","-","-","-","Characterizing Juvenile Atlantic Menhaden (Brevoortia Tyrannus) Distribution And Schooling In Sha…","-","-","-","-"
2021-11-10 15:20:00,2021-11-10 15:40:00,"-","Population Structure Of Gizzard Shad In The Upper Mississippi River","-","-","Climate-Ready And Resilient Fisheries: Using Satellite Data To Conserve And Manage Life In The Oc…","-","-","-","-","-","-","-","How Do The River And The People Both Win?","-","-"
2021-11-10 15:40:00,2021-11-10 16:00:00,"-","Rainbow Trout Growth And Mortality On The Beaver Tailwater (White River) In Arkansas","-","-","Integrating Marine And Coastal Natural Capital Into Ecological Forecasting: Challenges And Opport…","-","-","-","-","-","-","-","Economic Development Aspects Of Ecosystem Restoration And Whitewater Project","-","-"
2021-11-10 16:00:00,2021-11-10 16:20:00,"-","Movement Patterns Of Striped Bass (Morone Saxatilis) In A River-Reservoir Complex Relative To Ang…","-","-","-","-","-","-","-","-","-","-","-","-","-"
2021-11-10 16:20:00,2021-11-10 16:40:00,"-","Population Assessment Of A Threatened Fish Species Using Remotely Operated Vehicle Technology And…","-","-","-","-","-","-","-","-","-","-","Panel Discussion","-","-"
